Client Id,Transaction Type,Transaction Date,Priority,Processing Fee
AP,BUY,3-11-2013,Y,500.0
AP,BUY,9-11-2013,Y,500.0
AP,BUY,12-11-2013,Y,500.0
AP,DEPOSIT,6-11-2013,Y,500.0
AP,DEPOSIT,19-11-2013,Y,500.0
AP,SELL,25-11-2013,Y,500.0
AS,BUY,6-11-2013,N,50.0
AS,DEPOSIT,2-11-2013,N,50.0
AS,SELL,7-11-2013,N,100.0
AS,SELL,10-11-2013,N,100.0
AS,SELL,13-11-2013,N,100.0
AS,SELL,20-11-2013,N,100.0
GS,BUY,8-11-2013,Y,500.0
GS,BUY,23-11-2013,Y,500.0
GS,DEPOSIT,11-11-2013,Y,500.0
GS,WITHDRAW,1-11-2013,Y,500.0
GS,WITHDRAW,5-11-2013,Y,500.0
GS,WITHDRAW,26-11-2013,Y,500.0
HJ,SELL,4-11-2013,N,100.0
HJ,WITHDRAW,30-11-2013,N,100.0
